beta_variation_max_abs,contact_max_speed,contact_mean_speed,contact_num_sliding,description,estimated_ground_y,folder,foot_source,fps,frames,ground_confidence,max_foot_y,min_foot_y,opensim_motion,penetration0_count,penetration0_max,penetration0_mean,penetration_estimated_count,penetration_estimated_max,penetration_estimated_mean,pkl,pose_delta_lower_max_abs,pose_delta_total_max_abs,pose_delta_upper_max_abs,retarget_dir,root_max_vertical_accel,root_rms_vertical_accel,sequence,sequence_group,stage_id,stage_order,track_id
0.0,2.46063089,0.36037594,343,Fixed-beta canonical signal,-0.85123843,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-5,feet_refined,60.0,128,high,-0.74691975,-0.90470892,,512,0.90470892,0.84417129,255,0.05347049,0.01268135,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-5/canonical_wham_output.pkl,0.0,0.0,0.0,,0.00633162,0.00078187,6月2日-5,june2,01_fixed_beta,1,merged
0.0,2.46063089,0.36037594,343,World-grounded signal,0.0176602,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-5,feet_refined,60.0,128,high,0.15131676,-0.03405988,,164,0.03405988,0.00470644,257,0.05172008,0.01234402,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-5/world_grounded/optimized_canonical_wham_output.pkl,0.0,0.0,0.0,,0.00506198,0.00112943,6月2日-5,june2,02_world_grounded,2,merged
0.0,10.0679636,0.31342423,69,Post-processed signal: world-grounded plus lower-body/contact correction,0.00163949,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-5,feet_refined,60.0,128,high,0.15810376,-0.00500584,,200,0.00500584,0.00060184,241,0.00664532,0.00130545,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-5/lower_body_corrected/corrected_smpl.pkl,0.4121173,0.4121173,0.0,,0.00419694,0.00085123,6月2日-5,june2,03_lower_body_corrected,3,merged
0.68757272,2.79493713,0.41758394,347,Original WHAM signal,-0.85248941,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-6,feet_refined,60.0,120,high,-0.72561169,-0.90931886,,480,0.90931886,0.84053153,238,0.05682945,0.0126255,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-6/wham_output.pkl,0.0,0.0,0.0,,0.00306511,0.00053308,6月2日-6,june2,00_raw_wham,0,merged
0.0,2.79493713,0.41758394,347,Fixed-beta canonical signal,-0.85248941,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-6,feet_refined,60.0,120,high,-0.72561169,-0.90931886,,480,0.90931886,0.84053153,238,0.05682945,0.0126255,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-6/canonical_wham_output.pkl,0.0,0.0,0.0,,0.00602448,0.00078807,6月2日-6,june2,01_fixed_beta,1,merged
0.0,2.79493713,0.41758394,347,World-grounded signal,0.01161128,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-6,feet_refined,60.0,120,high,0.17579132,-0.03908211,,156,0.03908211,0.00485902,233,0.05069339,0.00989101,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-6/world_grounded/optimized_canonical_wham_output.pkl,0.0,0.0,0.0,,0.00406218,0.00098697,6月2日-6,june2,02_world_grounded,2,merged
0.0,10.19408894,0.36354655,57,Post-processed signal: world-grounded plus lower-body/contact correction,0.00862634,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-6,feet_refined,60.0,120,high,0.13724935,-0.00716293,,85,0.00716293,0.00040023,233,0.01578927,0.00296106,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-6/lower_body_corrected/corrected_smpl.pkl,0.41987467,0.41987467,0.0,,0.00406218,0.00098697,6月2日-6,june2,03_lower_body_corrected,3,merged
0.76536489,3.47443485,0.41342291,313,Original WHAM signal,-0.84579933,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-7,feet_refined,60.0,119,high,-0.69175941,-0.89611417,,476,0.89611417,0.83704805,225,0.05031484,0.01309247,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-7/wham_output.pkl,0.0,0.0,0.0,,0.0028193,0.00057611,6月2日-7,june2,00_raw_wham,0,merged
0.0,3.47443485,0.41342291,313,Fixed-beta canonical signal,-0.84579933,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-7,feet_refined,60.0,119,high,-0.69175941,-0.89611417,,476,0.89611417,0.83704805,225,0.05031484,0.01309247,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-7/canonical_wham_output.pkl,0.0,0.0,0.0,,0.00670111,0.00083422,6月2日-7,june2,01_fixed_beta,1,merged
0.0,3.47443485,0.41342291,313,World-grounded signal,0.02273875,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-7,feet_refined,60.0,119,high,0.19499999,-0.04448062,,144,0.04448062,0.00402701,235,0.06721938,0.01350546,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/6月2日-7/world_grounded/optimized_canonical_wham_output.pkl,0.0,0.0,0.0,,0.00938427,0.00146776,6月2日-7,june2,02_world_grounded,2,merged
